institution,area,date,honor,participant,certified,hour_certified
MITx,CS,5/23/16,0,322,4,6.88
MITx,STEM,5/11/16,1,362,24,23.31
HarvardX,HHRDE,11/2/15,1,385,67,12.05
HarvardX,HHRDE,11/2/15,1,422,56,12.21
HarvardX,HHRDE,10/27/15,1,427,58,18.05
HarvardX,HHRDE,10/27/15,1,461,66,15.9
HarvardX,HHRDE,10/1/15,1,492,127,3.67
MITx,STEM,4/8/16,1,510,53,26.52
HarvardX,HHRDE,10/1/15,1,511,113,4.44
HarvardX,HHRDE,11/2/15,1,515,60,10.3
HarvardX,HHRDE,7/21/16,0,615,20,5.93
MITx,STEM,1/15/16,1,639,26,37.45
MITx,STEM,12/14/15,1,658,48,42.5
MITx,CS,4/25/16,0,664,5,7.38
HarvardX,HHRDE,9/21/15,1,670,191,8.25
HarvardX,HHRDE,10/1/15,1,702,180,4.65
HarvardX,HHRDE,10/27/15,1,729,92,12.5
MITx,STEM,11/16/15,1,790,63,56.85
HarvardX,HHRDE,10/27/15,1,849,112,20.91
HarvardX,HHRDE,11/2/15,1,948,65,20.87
MITx,STEM,10/19/15,1,1178,94,50.19
HarvardX,HHRDE,4/28/16,0,1199,43,8.01
MITx,STEM,4/27/16,0,1236,35,103.22
HarvardX,HHRDE,10/27/14,1,1275,304,5.93
MITx,STEM,8/3/16,0,1294,38,40.59
HarvardX,HHRDE,11/2/15,1,1381,145,8.38
HarvardX,GHSS,2/15/16,1,1409,120,21.84
MITx,STEM,8/1/16,0,1431,8,62.38
HarvardX,HHRDE,2/9/15,1,1465,380,4.86
HarvardX,HHRDE,9/21/15,1,1472,189,12.48
HarvardX,HHRDE,1/5/15,1,1483,400,4.67
HarvardX,GHSS,3/15/16,0,1546,19,23.84
HarvardX,HHRDE,10/8/14,1,1559,417,1.77
HarvardX,HHRDE,9/21/15,1,1602,243,9.13
HarvardX,HHRDE,10/22/14,1,1615,376,1.42
MITx,STEM,6/28/16,0,1645,2,45.38
HarvardX,HHRDE,9/21/15,1,1698,330,5.54
HarvardX,GHSS,4/15/16,0,1716,12,34.33
HarvardX,HHRDE,9/21/15,1,1732,361,4.79
MITx,STEM,3/23/16,0,1862,40,93.84
HarvardX,HHRDE,10/22/14,1,1911,149,13.19
MITx,STEM,11/11/15,1,2075,179,43.47
HarvardX,HHRDE,9/21/15,1,2085,390,4.93
HarvardX,HHRDE,9/15/15,1,2175,330,22.34
HarvardX,HHRDE,11/12/14,1,2201,367,1.52
HarvardX,GHSS,4/27/15,1,2250,252,4.14
HarvardX,HHRDE,9/14/14,1,2310,510,4.8
HarvardX,GHSS,1/15/16,1,2321,193,16.76
MITx,STEM,6/29/16,0,2335,65,41.1
HarvardX,GHSS,12/15/15,1,2379,277,16.68
MITx,HHRDE,7/14/16,0,2402,128,23.6
HarvardX,GHSS,4/27/15,1,2428,209,15.58
MITx,STEM,1/27/16,1,2456,99,73.52
HarvardX,HHRDE,5/6/15,1,2479,196,14.8
HarvardX,HHRDE,4/19/16,0,2493,63,16.94
MITx,GHSS,3/28/16,0,2583,51,27.19
HarvardX,HHRDE,9/21/15,1,2587,502,4.28
MITx,GHSS,10/27/15,1,2599,436,33.65
MITx,GHSS,6/14/16,0,2604,207,25.22
HarvardX,GHSS,4/27/15,1,2656,226,11.09
HarvardX,HHRDE,9/10/14,1,2820,153,13.08
MITx,STEM,10/27/15,1,2860,333,77.55
HarvardX,HHRDE,9/21/15,1,2862,443,2.09
HarvardX,HHRDE,7/25/16,0,2871,20,11.33
HarvardX,HHRDE,4/8/16,0,3049,45,59.94
HarvardX,GHSS,12/3/15,1,3072,616,12.82
HarvardX,HHRDE,10/1/15,1,3126,246,10.69
MITx,STEM,10/14/15,1,3178,320,31.84
MITx,STEM,3/29/16,0,3294,70,94.76
HarvardX,GHSS,11/15/15,1,3654,444,11.25
MITx,STEM,2/26/15,1,3661,65,133.54
MITx,STEM,3/29/16,1,3749,233,90.87
HarvardX,HHRDE,11/16/15,1,3806,478,8.41
MITx,STEM,2/16/16,0,3842,51,101.75
HarvardX,HHRDE,9/8/14,1,3853,391,10.2
HarvardX,HHRDE,1/7/15,1,3879,220,12.34
MITx,GHSS,4/1/15,1,3922,404,39.26
MITx,STEM,8/1/16,0,3937,49,58.5
MITx,STEM,6/22/16,0,4014,46,75.91
HarvardX,HHRDE,9/21/15,1,4033,460,5.88
HarvardX,GHSS,2/23/16,1,4050,472,37.03
HarvardX,GHSS,3/10/15,1,4091,379,3.55
MITx,GHSS,5/2/16,0,4130,166,47.71
MITx,STEM,1/13/15,1,4143,257,37.45
MITx,GHSS,10/5/15,1,4187,190,38.13
HarvardX,HHRDE,1/21/16,1,4237,587,11.85
HarvardX,HHRDE,11/20/14,1,4248,1442,9.76
MITx,GHSS,2/22/16,1,4250,296,85.52
HarvardX,GHSS,4/27/15,1,4262,377,12.15
MITx,CS,3/28/16,0,4276,9,14.64
MITx,GHSS,7/14/15,1,4404,638,29.18
HarvardX,HHRDE,10/9/14,1,4515,1528,9.54
MITx,HHRDE,7/15/15,1,4518,471,9.52
MITx,CS,2/29/16,0,4522,27,13.11
HarvardX,HHRDE,7/5/16,0,4553,70,26.74
HarvardX,HHRDE,9/4/14,1,4662,1505,8.68
MITx,STEM,9/8/15,1,4767,99,157
HarvardX,GHSS,3/30/15,1,4785,453,34.43
HarvardX,HHRDE,8/5/15,1,4794,353,11.04
MITx,STEM,6/7/16,0,4825,92,49.8
HarvardX,HHRDE,11/10/15,1,4842,249,25.89
MITx,GHSS,4/19/16,0,4955,254,21.67
MITx,GHSS,3/23/15,1,5084,277,21.18
MITx,STEM,6/12/14,1,5092,392,36.44
MITx,STEM,9/3/14,1,5245,164,93.19
